tconst,titleType,primaryTitle,originalTitle,startYear,genres
tt0003419,movie,The Student of Prague,Der Student von Prag,1913,"Drama,Fantasy,Horror"
tt0005060,movie,Carmen,Carmen,1915,"Drama,Musical"
tt0006864,movie,Intolerance,Intolerance: Love's Struggle Throughout the Ages,1916,"Drama,History"
tt0008416,movie,Peace on Earth,Pax æterna,1917,War
tt0009878,movie,Different from the Others,Anders als die Andern,1919,"Crime,Drama,History"
tt0009893,movie,The Oyster Princess,Die Austernprinzessin,1919,Comedy
tt0010323,movie,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,1920,"Horror,Mystery,Thriller"
tt0010600,movie,The Doll,Die Puppe,1919,"Comedy,Fantasy,Romance"
tt0011237,movie,The Golem,"Der Golem, wie er in die Welt kam",1920,"Fantasy,Horror"
tt0011302,movie,Man of the Sea,L'Homme du large,1920,Drama
tt0011348,movie,The Head of Janus,Der Januskopf,1920,Horror
tt0011960,movie,The Wildcat,Die Bergkatze,1921,"Comedy,Drama,Romance"
tt0012364,movie,The Phantom Carriage,Körkarlen,1921,"Drama,Fantasy,Horror"
tt0012660,movie,Secret Sorrow,The Secret Sorrow,1921,Drama
tt0013086,movie,"Dr. Mabuse, the Gambler","Dr. Mabuse, der Spieler",1922,"Crime,Mystery,Thriller"
tt0013442,movie,Nosferatu,"Nosferatu, eine Symphonie des Grauens",1922,"Fantasy,Horror"
tt0014417,movie,The Wheel,La roue,1923,Drama
tt0014586,movie,Waxworks,Das Wachsfigurenkabinett,1924,"Fantasy,Horror"
tt0014760,movie,Captain January,Captain January,1924,"Drama,Family,Musical"
tt0014898,movie,Whirlpool of Fate,La fille de l'eau,1925,"Drama,Romance"
tt0015064,movie,The Last Laugh,Der letzte Mann,1924,Drama
tt0015361,movie,Strike,Stachka,1925,Drama
tt0015532,movie,The Adventures of Prince Achmed,Die Abenteuer des Prinzen Achmed,1926,"Adventure,Animation,Drama"
tt0015648,movie,Battleship Potemkin,Bronenosets Potyomkin,1925,"Drama,History,Thriller"
tt0016029,movie,The Little Colonel,The Little Colonel,1935,"Comedy,Family,Musical"
tt0016847,movie,Faust,Faust: Eine deutsche Volkssage,1926,"Drama,Fantasy,Horror"
tt0016953,movie,The Holy Mountain,Der heilige Berg,1926,Drama
tt0017048,movie,A Page of Madness,Kurutta ichipêji,1926,"Drama,Horror,Thriller"
tt0017128,movie,Mother,Mat,1926,Drama
tt0017438,movie,The Student of Prague,Der Student von Prag,1926,"Drama,Horror"
tt0018037,movie,The Jazz Singer,The Jazz Singer,1927,"Drama,Music,Musical"
tt0018045,movie,The Chess Player,Le joueur d'échecs,1927,"Drama,Fantasy,War"
tt0018192,movie,Napoleon,Napoléon vu par Abel Gance,1927,"Biography,Drama,History"
tt0018737,movie,Pandora's Box,Die Büchse der Pandora,1929,"Crime,Drama,Romance"
tt0018770,movie,The Fall of the House of Usher,La chute de la maison Usher,1928,"Drama,Fantasy,Horror"
tt0019103,movie,Skirts,A Little Bit of Fluff,1928,Comedy
tt0019254,movie,The Passion of Joan of Arc,La passion de Jeanne d'Arc,1928,"Biography,Drama,History"
tt0019388,movie,The Singing Fool,The Singing Fool,1928,"Drama,Musical"
tt0019415,movie,Spies,Spione,1928,"Romance,Thriller"
tt0019440,movie,Pathetic Symphony,La symphonie pathétique,1930,
tt0019629,movie,The Cursed Village,La aldea maldita,1930,Drama
tt0019644,movie,Applause,Applause,1929,"Drama,Musical,Romance"
tt0019646,movie,L'Argent,L'argent,1928,"Drama,Romance"
tt0019657,movie,Atlantic,Atlantik,1929,"Drama,History"
tt0019703,movie,Blaze o' Glory,Blaze o' Glory,1929,"Crime,Musical,War"
tt0019706,movie,Wine Cellars,La bodega,1930,"Comedy,Drama"
tt0019726,movie,Broadway Babies,Broadway Babies,1929,"Drama,Musical"
tt0019729,movie,The Broadway Melody,The Broadway Melody,1929,"Drama,Musical,Romance"
tt0019730,movie,Broadway Scandals,Broadway Scandals,1929,"Comedy,Drama,Musical"
tt0019760,movie,Man with a Movie Camera,Chelovek s kino-apparatom,1929,Documentary
tt0019777,movie,The Cocoanuts,The Cocoanuts,1929,"Comedy,Musical,Romance"
tt0019813,movie,The Desert Song,The Desert Song,1929,"Action,Musical,Romance"
tt0019896,movie,Fox Movietone Follies of 1929,Fox Movietone Follies of 1929,1929,"Comedy,Musical,Romance"
tt0019933,movie,Glorifying the American Girl,Glorifying the American Girl,1929,"Comedy,Drama,Musical"
tt0019936,movie,Gold Diggers of Broadway,Gold Diggers of Broadway,1929,"Comedy,Musical"
tt0020011,movie,I Kiss Your Hand Madame,"Ich küsse Ihre Hand, Madame",1929,Drama
tt0020026,movie,Innocents of Paris,Innocents of Paris,1929,"Musical,Romance"
tt0020034,movie,It's a Great Life,It's a Great Life,1929,"Comedy,Musical,Romance"
tt0020050,movie,Just for a Song,Just for a Song,1930,Musical
tt0020112,movie,The Love Parade,The Love Parade,1929,"Comedy,Musical,Romance"
tt0020121,movie,Lucky Boy,Lucky Boy,1929,"Comedy,Drama,Musical"
tt0020123,movie,Lucky in Love,Lucky in Love,1929,"Comedy,Musical"
tt0020134,movie,Mother Hummingbird,Maman Colibri,1929,Drama
tt0020143,movie,Marianne,Marianne,1929,"Drama,Musical,Romance"
tt0020163,movie,People on Sunday,Menschen am Sonntag,1930,"Comedy,Drama,Romance"
tt0020187,movie,Mother's Boy,Mother's Boy,1929,"Drama,Musical"
tt0020238,movie,On with the Show!,On with the Show!,1929,"Comedy,Musical,Romance"
tt0020278,movie,Pointed Heels,Pointed Heels,1929,"Comedy,Drama,Musical"
tt0020286,movie,A Throw of Dice,Prapanch Pash,1929,"Adventure,Drama,Romance"
tt0020332,movie,Rio Rita,Rio Rita,1929,"Comedy,Musical,Western"
tt0020336,movie,Chasing Rainbows,Chasing Rainbows,1930,"Comedy,Drama,Musical"
tt0020402,movie,Show Boat,Show Boat,1929,"Drama,Musical,Romance"
tt0020427,movie,Such Is Life,Takový je zivot,1930,Drama
tt0020458,movie,Street Girl,Street Girl,1929,"Drama,Musical,Romance"
tt0020466,movie,Sunny Side Up,Sunnyside Up,1929,"Comedy,Musical"
tt0020475,movie,Diary of a Lost Girl,Tagebuch einer Verlorenen,1929,Drama
tt0020570,movie,The White Hell of Pitz Palu,Die weiße Hölle vom Piz Palü,1929,"Action,Adventure,Drama"
tt0020585,movie,Why Be Good?,Why Be Good?,1929,"Comedy,Drama,Musical"
tt0020621,movie,Farewell,Abschied,1930,"Comedy,Drama"
tt0020636,movie,Old Song,Das alte Lied,1930,"Drama,Romance"
tt0020640,movie,Animal Crackers,Animal Crackers,1930,"Comedy,Family,Musical"
tt0020654,movie,Such Is Life,Así es la vida,1939,
tt0020656,movie,Ladies' Paradise,Au bonheur des dames,1930,"Drama,Romance"
tt0020670,movie,Be Yourself!,Be Yourself!,1930,"Comedy,Musical"
tt0020683,movie,Big Boy,Big Boy,1930,"Comedy,Musical"
tt0020689,movie,The Big Party,The Big Party,1930,"Comedy,Musical,Romance"
tt0020724,movie,Call of the Flesh,Call of the Flesh,1930,"Musical,Romance"
tt0020842,movie,Three from the Filling Station,Die Drei von der Tankstelle,1930,"Comedy,Musical,Romance"
tt0020852,movie,Elstree Calling,Elstree Calling,1930,"Comedy,Musical"
tt0020891,movie,The Florodora Girl,The Florodora Girl,1930,"Drama,Musical,Mystery"
tt0020895,movie,Follow the Leader,Follow the Leader,1930,"Comedy,Musical,Romance"
tt0020902,movie,Free and Easy,Free and Easy,1930,"Comedy,Musical"
tt0020945,movie,Half Shot at Sunrise,Half Shot at Sunrise,1930,"Comedy,Musical"
tt0020956,movie,Heads Up,Heads Up,1930,"Comedy,Musical,Romance"
tt0020977,movie,Hit the Deck,Hit the Deck,1929,"Comedy,Musical,Romance"
tt0020986,movie,Honey,Honey,1930,"Comedy,Musical"
tt0020997,movie,In Gay Madrid,In Gay Madrid,1930,"Drama,Musical,Romance"
tt0021016,movie,Just Imagine,Just Imagine,1930,"Comedy,Fantasy,Musical"
tt0021025,movie,King of Jazz,King of Jazz,1930,"Comedy,Musical"
tt0021029,movie,Kismet,Kismet,1930,"Adventure,Fantasy,Musical"
