nconst,primaryName,birthYear
nm0000001,Fred Astaire,1899
nm0000002,Lauren Bacall,1924
nm0000003,Brigitte Bardot,1934
nm0000005,Ingmar Bergman,1918
nm0000006,Ingrid Bergman,1915
nm0000008,Marlon Brando,1924
nm0000009,Richard Burton,1925
nm0000010,James Cagney,1899
nm0000011,Gary Cooper,1901
nm0000012,Bette Davis,1908
nm0000013,Doris Day,1922
nm0000016,Georges Delerue,1925
nm0000017,Marlene Dietrich,1901
nm0000018,Kirk Douglas,1916
nm0000019,Federico Fellini,1920
nm0000020,Henry Fonda,1905
nm0000021,Joan Fontaine,1917
nm0000022,Clark Gable,1901
nm0000023,Judy Garland,1922
nm0000024,John Gielgud,1904
nm0000025,Jerry Goldsmith,1929
nm0000026,Cary Grant,1904
nm0000027,Alec Guinness,1914
nm0000028,Rita Hayworth,1918
nm0000030,Audrey Hepburn,1929
nm0000032,Charlton Heston,1923
nm0000033,Alfred Hitchcock,1899
nm0000034,William Holden,1918
nm0000035,James Horner,1953
nm0000036,Buster Keaton,1895
nm0000037,Gene Kelly,1912
nm0000038,Grace Kelly,1929
nm0000039,Deborah Kerr,1921
nm0000041,Akira Kurosawa,1910
nm0000042,Alan Ladd,1913
nm0000043,Veronica Lake,1922
nm0000044,Burt Lancaster,1913
nm0000045,Bruce Lee,1940
nm0000046,Vivien Leigh,1913
nm0000047,Sophia Loren,1934
nm0000048,Peter Lorre,1904
nm0000049,Henry Mancini,1924
nm0000050,Groucho Marx,1890
nm0000051,James Mason,1909
nm0000052,Marcello Mastroianni,1924
nm0000053,Robert Mitchum,1917
nm0000054,Marilyn Monroe,1926
nm0000055,Alfred Newman,1900
nm0000057,David Niven,1910
nm0000058,Maureen O'Hara,1920
nm0000059,Laurence Olivier,1907
nm0000060,Gregory Peck,1916
nm0000061,Tyrone Power,1914
nm0000062,Elvis Presley,1935
nm0000063,Anthony Quinn,1915
nm0000064,Edward G. Robinson,1893
nm0000065,Nino Rota,1911
nm0000066,Jane Russell,1921
nm0000067,Miklós Rózsa,1907
nm0000068,Randolph Scott,1898
nm0000069,Frank Sinatra,1915
nm0000070,Max Steiner,1888
nm0000071,James Stewart,1908
nm0000072,Elizabeth Taylor,1932
nm0000073,Shirley Temple,1928
nm0000074,Gene Tierney,1920
nm0000076,François Truffaut,1932
nm0000077,Franz Waxman,1906
nm0000079,Raquel Welch,1940
nm0000080,Orson Welles,1915
nm0000081,Natalie Wood,1938
nm0000082,Victor Young,1899
nm0000084,Gong Li,1965
nm0000085,Henner Hofmann,1950
nm0000086,Louis de Funès,1914
nm0000087,Elena Koreneva,1953
nm0000088,Aleksey Korenev,1927
nm0000090,Armin Mueller-Stahl,1930
nm0000091,Gérard Pirès,1942
nm0000092,John Cleese,1939
nm0000093,Brad Pitt,1963
nm0000095,Woody Allen,1935
nm0000096,Gillian Anderson,1968
nm0000097,Pamela Anderson,1967
nm0000099,Patricia Arquette,1968
nm0000101,Dan Aykroyd,1952
nm0000102,Kevin Bacon,1958
nm0000103,Fairuza Balk,1974
nm0000104,Antonio Banderas,1960
nm0000105,Adrienne Barbeau,1945
nm0000106,Drew Barrymore,1975
nm0000107,Kim Basinger,1953
nm0000108,Luc Besson,1959
nm0000109,Yasmine Bleeth,1968
nm0000110,Kenneth Branagh,1960
nm0000111,Matthew Broderick,1962
nm0000112,Pierce Brosnan,1953
nm0000114,Steve Buscemi,1957
nm0000115,Nicolas Cage,1964
nm0000116,James Cameron,1954
nm0000118,John Carpenter,1948
nm0000120,Jim Carrey,1962
nm0000122,Charles Chaplin,1889
nm0000124,Jennifer Connelly,1970
nm0000125,Sean Connery,1930
nm0000126,Kevin Costner,1955
nm0000127,Wes Craven,1939
nm0000128,Russell Crowe,1964
nm0000129,Tom Cruise,1962
nm0000130,Jamie Lee Curtis,1958
nm0000131,John Cusack,1966
nm0000133,Geena Davis,1956
nm0000134,Robert De Niro,1943
nm0000136,Johnny Depp,1963
nm0000138,Leonardo DiCaprio,1974
nm0000140,Michael Douglas,1944
nm0000141,David Duchovny,1960
nm0000142,Clint Eastwood,1930
nm0000144,Cary Elwes,1962
nm0000145,Sherilyn Fenn,1965
nm0000146,Ralph Fiennes,1962
nm0000147,Colin Firth,1960
nm0000148,Harrison Ford,1942
nm0000149,Jodie Foster,1962
nm0000150,Michael J. Fox,1961
nm0000151,Morgan Freeman,1937
nm0000152,Richard Gere,1949
nm0000154,Mel Gibson,1956
nm0000155,Whoopi Goldberg,1955
nm0000156,Jeff Goldblum,1952
nm0000158,Tom Hanks,1956
nm0000160,Ethan Hawke,1970
nm0000161,Salma Hayek,1966
nm0000162,Anne Heche,1969
nm0000163,Dustin Hoffman,1937
nm0000164,Anthony Hopkins,1937
nm0000165,Ron Howard,1954
nm0000166,Helen Hunt,1963
nm0000167,Elizabeth Hurley,1965
nm0000168,Samuel L. Jackson,1948
nm0000169,Tommy Lee Jones,1946
nm0000170,Milla Jovovich,1975
nm0000172,Harvey Keitel,1939
nm0000173,Nicole Kidman,1967
nm0000174,Val Kilmer,1959
nm0000175,Stephen King,1947
nm0000176,Nastassja Kinski,1961
nm0000177,Kevin Kline,1947
nm0000178,Diane Lane,1965
nm0000179,Jude Law,1972
nm0000180,David Lean,1908
nm0000182,Jennifer Lopez,1969
nm0000183,Traci Lords,1968
nm0000184,George Lucas,1944
nm0000185,Dolph Lundgren,1957
nm0000186,David Lynch,1946
nm0000187,Madonna,1958
nm0000188,Steve Martin,1945
nm0000189,Jenny McCarthy-Wahlberg,1972
nm0000190,Matthew McConaughey,1969
nm0000191,Ewan McGregor,1971
nm0000193,Demi Moore,1962
nm0000194,Julianne Moore,1960
nm0000197,Jack Nicholson,1937
nm0000198,Gary Oldman,1958
nm0000199,Al Pacino,1940
nm0000201,Michelle Pfeiffer,1958
nm0000202,Ryan Phillippe,1974
nm0000204,Natalie Portman,1981
nm0000206,Keanu Reeves,1964
nm0000207,Christina Ricci,1980
nm0000210,Julia Roberts,1967
nm0000213,Winona Ryder,1971
nm0000214,Mia Sara,1967
nm0000215,Susan Sarandon,1946
nm0000216,Arnold Schwarzenegger,1947
nm0000217,Martin Scorsese,1942
nm0000218,Kristin Scott Thomas,1960
nm0000219,Steven Seagal,1952
nm0000223,Elisabeth Shue,1963
nm0000224,Alicia Silverstone,1976
nm0000225,Christian Slater,1969
nm0000226,Will Smith,1968
nm0000227,Mira Sorvino,1967
nm0000228,Kevin Spacey,1959
nm0000229,Steven Spielberg,1946
nm0000230,Sylvester Stallone,1946
nm0000232,Sharon Stone,1958
nm0000233,Quentin Tarantino,1963
nm0000234,Charlize Theron,1975
nm0000235,Uma Thurman,1970
nm0000236,Jennifer Tilly,1958
nm0000237,John Travolta,1954
nm0000238,Shannon Tweed,1957
nm0000241,Jean-Claude Van Damme,1960
nm0000242,Mark Wahlberg,1971
nm0000244,Sigourney Weaver,1949
nm0000246,Bruce Willis,1955
nm0000247,John Woo,1946
nm0000249,James Woods,1947
nm0000250,Renée Zellweger,1969
nm0000252,Robert Ellis,1892
nm0000254,Isabelle Adjani,1955
nm0000255,Ben Affleck,1972
nm0000256,Jenny Agutter,1952
nm0000262,Nancy Allen,1950
nm0000264,Pedro Almodóvar,1949
nm0000265,Robert Altman,1925
nm0000266,Ursula Andress,1936
nm0000267,Julie Andrews,1935
nm0000268,Ann-Margret,1941
nm0000269,Jean-Jacques Annaud,1943
nm0000272,Fanny Ardant,1949
nm0000273,Alan Arkin,1934
nm0000274,David Arquette,1971
nm0000275,Rosanna Arquette,1959
nm0000276,Sean Astin,1971
nm0000277,Richard Attenborough,1923
nm0000278,Pernilla August,1958
nm0000283,Brenda Bakke,1963
nm0000285,Alec Baldwin,1958
nm0000286,Stephen Baldwin,1966
nm0000287,William Baldwin,1963
nm0000288,Christian Bale,1974
nm0000289,Ellen Barkin,1954
nm0000290,John Barry,1933
nm0000293,Sean Bean,1959
nm0000295,Kate Beckinsale,1973
nm0000297,Tom Berenger,1949
nm0000299,Michael Biehn,1956
nm0000300,Juliette Binoche,1964
nm0000302,Jacqueline Bisset,1944
nm0000304,Linda Blair,1959
nm0000305,Mel Blanc,1908
nm0000306,Brian Blessed,1936
nm0000307,Helena Bonham Carter,1966
nm0000308,Ernest Borgnine,1917
nm0000309,David Bowie,1947
nm0000313,Jeff Bridges,1949
nm0000314,Charles Bronson,1921
nm0000315,Louise Brooks,1906
nm0000316,Mel Brooks,1926
nm0000317,Clancy Brown,1959
nm0000318,Tim Burton,1958
nm0000320,Luis Buñuel,1900
nm0000321,Gabriel Byrne,1950
nm0000322,Emmanuelle Béart,1963
nm0000323,Michael Caine,1933
nm0000324,Barbara Carrera,1945
nm0000326,Kim Cattrall,1956
nm0000327,Lacey Chabert,1982
nm0000329,Jackie Chan,1954
nm0000330,Stockard Channing,1944
nm0000331,Chevy Chase,1943
nm0000332,Don Cheadle,1964
nm0000333,Cher,1946
nm0000334,Chow Yun-Fat,1955
nm0000335,Glenn Close,1947
nm0000336,James Coburn,1928
nm0000337,Rachael Leigh Cook,1979
nm0000338,Francis Ford Coppola,1939
nm0000339,Roger Corman,1926
nm0000340,Cindy Crawford,1966
nm0000342,James Cromwell,1940
nm0000343,David Cronenberg,1943
nm0000345,Billy Crystal,1948
nm0000346,Macaulay Culkin,1980
nm0000347,Tim Curry,1946
nm0000348,Tony Curtis,1925
nm0000350,Beverly D'Angelo,1951
nm0000352,Vincent D'Onofrio,1959
nm0000353,Willem Dafoe,1955
nm0000355,Anthony Daniels,1946
nm0000356,Sybil Danning,
nm0000358,Daniel Day-Lewis,1957
nm0000360,Rebecca De Mornay,1959
nm0000362,Danny DeVito,1944
nm0000363,Loren Dean,1969
nm0000364,Sandra Dee,1942
nm0000365,Julie Delpy,1969
nm0000366,Catherine Deneuve,1943
