tconst,nconst,category
tt0003419,nm0917467,actor
tt0003419,nm0074186,actress
tt0003419,nm0758802,actress
tt0003419,nm0332024,actor
tt0003419,nm0477996,actor
tt0003419,nm0917744,actor
tt0003419,nm0263912,self
tt0003419,nm0596218,self
tt0003419,nm0263912,director
tt0003419,nm0753233,director
tt0003419,nm0263912,writer
tt0003419,nm0210503,writer
tt0003419,nm0917467,producer
tt0003419,nm0919054,composer
tt0003419,nm0005869,cinematographer
tt0003419,nm0226278,production_designer
tt0003419,nm0725304,production_designer
tt0005060,nm0268125,actress
tt0005060,nm0717468,actor
tt0005060,nm0003124,actor
tt0005060,nm0139356,actor
tt0005060,nm0255420,actor
tt0005060,nm0534221,actress
tt0005060,nm0454458,actress
tt0005060,nm18284651,actor
tt0005060,nm0238061,actor
tt0005060,nm0369058,actor
tt0005060,nm0001124,director
tt0005060,nm0617737,writer
tt0005060,nm0210352,writer
tt0005060,nm0001124,producer
tt0005060,nm0005931,cinematographer
tt0005060,nm0061640,editor
tt0005060,nm0001124,editor
tt0006864,nm0001273,actress
tt0006864,nm0001273,actress
tt0006864,nm0366008,actor
tt0006864,nm0550615,actress
tt0006864,nm0877548,actor
tt0006864,nm0208659,actor
tt0006864,nm0507849,actress
tt0006864,nm0017488,actress
tt0006864,nm0913432,actress
tt0006864,nm0255466,actress
tt0006864,nm1026284,actress
tt0006864,nm0000428,director
tt0006864,nm0000428,writer
tt0006864,nm0002616,writer
tt0006864,nm0000428,producer
tt0006864,nm0002301,composer
tt0006864,nm0005658,cinematographer
tt0006864,nm0808571,editor
tt0006864,nm0809817,editor
tt0008416,nm0676978,actress
tt0008416,nm0927690,actor
tt0008416,nm0064953,actor
tt0008416,nm0091386,actor
tt0008416,nm0212091,actor
tt0008416,nm5163806,actor
tt0008416,nm2112876,actress
tt0008416,nm0381005,actor
tt0008416,nm2544349,actor
tt0008416,nm0414716,actor
tt0008416,nm0390479,director
tt0008416,nm0584273,writer
tt0008416,nm0647763,writer
tt0008416,nm1364406,writer
tt0008416,nm1253144,composer
tt0008416,nm0165330,cinematographer
tt0009878,nm0891998,actor
tt0009878,nm0174925,actor
tt0009878,nm0903095,actress
tt0009878,nm0929700,actress
tt0009878,nm0686035,actor
tt0009878,nm0776458,actor
tt0009878,nm0225905,actor
tt0009878,nm0687223,actress
tt0009878,nm0073318,actress
tt0009878,nm0778306,actor
tt0009878,nm0652650,director
tt0009878,nm0386589,writer
tt0009878,nm0652650,writer
tt0009878,nm0652650,producer
tt0009878,nm2078034,composer
tt0009878,nm0776169,composer
tt0009878,nm0268732,cinematographer
tt0009878,nm1911898,editor
tt0009878,nm0992820,editor
tt0009878,nm0512906,production_designer
tt0009893,nm0418131,actor
tt0009893,nm0652661,actress
tt0009893,nm0509573,actor
tt0009893,nm0266254,actor
tt0009893,nm0472174,actor
tt0009893,nm0092290,actor
tt0009893,nm0432721,actor
tt0009893,nm0475470,actress
tt0009893,nm0667152,actor
tt0009893,nm0728818,actor
tt0009893,nm0523932,director
tt0009893,nm0473134,writer
tt0009893,nm0523932,writer
tt0009893,nm0204029,composer
tt0009893,nm0894382,composer
tt0009893,nm0005882,cinematographer
tt0009893,nm0322843,production_designer
tt0009893,nm0725310,production_designer
tt0010323,nm0470328,actor
tt0010323,nm0891998,actor
tt0010323,nm0270415,actor
tt0010323,nm0196820,actress
tt0010323,nm0903145,actor
tt0010323,nm0504811,actor
tt0010323,nm0459030,actor
tt0010323,nm0459030,actor
tt0010323,nm0487085,actor
tt0010323,nm0487085,actor
tt0010323,nm0676742,actor
tt0010323,nm0676742,actor
tt0010323,nm0720991,actor
tt0010323,nm0720991,actor
tt0010323,nm0927468,director
tt0010323,nm0562346,writer
tt0010323,nm0417917,writer
tt0010323,nm0031350,composer
tt0010323,nm0005959,composer
tt0010323,nm0110640,composer
tt0010323,nm2773733,composer
tt0010323,nm0005736,cinematographer
tt0010323,nm0717808,production_designer
tt0010323,nm0753929,production_designer
tt0010323,nm0912315,production_designer
tt0010600,nm0652661,actress
tt0010600,nm0858164,actor
tt0010600,nm0418131,actor
tt0010600,nm0472174,actor
tt0010600,nm0477815,actress
tt0010600,nm0728818,actor
tt0010600,nm0862816,actor
tt0010600,nm0233328,actress
tt0010600,nm0487600,actor
tt0010600,nm0604940,actor
tt0010600,nm0523932,director
tt0010600,nm0006782,writer
tt0010600,nm0473134,writer
tt0010600,nm0523932,writer
tt0010600,nm0932559,writer
tt0010600,nm1413539,composer
tt0010600,nm0005882,cinematographer
tt0010600,nm0913298,cinematographer
tt0011237,nm0917467,actor
tt0011237,nm0917467,actor
tt0011237,nm0826210,actor
tt0011237,nm0826210,actor
tt0011237,nm0222074,actor
tt0011237,nm0222074,actor
tt0011237,nm0758802,actress
tt0011237,nm0758802,actress
tt0011237,nm0836755,actor
tt0011237,nm0472174,actor
tt0011237,nm0472174,actor
tt0011237,nm0311413,actor
tt0011237,nm0311413,actor
tt0011237,nm0618450,actor
tt0011237,nm0618450,actor
tt0011237,nm0775659,actress
tt0011237,nm0775659,actress
tt0011237,nm0248125,actor
tt0011237,nm0917467,director
tt0011237,nm0917467,writer
tt0011237,nm0301961,writer
tt0011237,nm0203452,producer
tt0011237,nm0485134,composer
tt0011237,nm10670231,composer
tt0011237,nm0006272,composer
tt0011237,nm0956802,composer
tt0011237,nm0005713,cinematographer
tt0011237,nm0005869,cinematographer
tt0011302,nm0000964,actor
tt0011302,nm0695887,actress
tt0011302,nm1289475,actress
tt0011302,nm0405742,actor
tt0011302,nm0695078,actress
tt0011302,nm0439452,actor
tt0011302,nm0146019,actor
tt0011302,nm0002193,actor
tt0011302,nm0126885,actress
tt0011302,nm0202555,actor
tt0011302,nm0478303,director
tt0011302,nm0478303,writer
tt0011302,nm0051304,writer
tt0011302,nm0524138,cinematographer
tt0011302,nm0146019,editor
tt0011302,nm0478303,editor
tt0011302,nm0002193,production_designer
tt0011302,nm0307872,production_designer
tt0011348,nm0891998,actor
tt0011348,nm0891998,actor
tt0011348,nm0830135,actor
tt0011348,nm0772162,actress
tt0011348,nm0772162,actress
tt0011348,nm0435227,actor
tt0011348,nm0000509,actor
tt0011348,nm0475470,actress
tt0011348,nm0475470,actress
tt0011348,nm0346344,actor
tt0011348,nm0098774,actor
tt0011348,nm0299833,actor
tt0011348,nm0487085,actor
tt0011348,nm0003638,director
tt0011348,nm0829044,writer
tt0011348,nm0417917,writer
tt0011348,nm0690143,producer
tt0011348,nm0005713,cinematographer
tt0011348,nm0389155,cinematographer
tt0011348,nm1772235,cinematographer
tt0011348,nm0725264,production_designer
tt0011960,nm0624470,actress
tt0011960,nm0418131,actor
tt0011960,nm0373928,actor
tt0011960,nm0225905,actor
tt0011960,nm0858164,actor
tt0011960,nm0577914,actress
tt0011960,nm0477815,actress
tt0011960,nm0333675,actor
tt0011960,nm0343096,actor
tt0011960,nm0465837,actor
tt0011960,nm0523932,director
tt0011960,nm0473134,writer
tt0011960,nm0523932,writer
tt0011960,nm0203452,producer
tt0011960,nm5055091,composer
tt0011960,nm0005882,cinematographer
tt0012364,nm0803705,actor
tt0012364,nm0096737,actress
tt0012364,nm0841061,actor
tt0012364,nm0391474,actress
tt0012364,nm0782943,actress
tt0012364,nm0526479,actress
tt0012364,nm0917912,actor
tt0012364,nm0043509,actor
tt0012364,nm0959818,actor
tt0012364,nm0014363,actor
tt0012364,nm0803705,director
tt0012364,nm0481248,writer
tt0012364,nm0803705,writer
tt0012364,nm0005748,cinematographer
tt0012660,nm0113625,actor
tt0012660,nm0895108,actor
tt0012660,nm0607969,actress
tt0012660,nm0155479,actor
tt0012660,nm0167174,actress
tt0012660,nm0026818,actress
tt0012660,nm1294308,actor
tt0012660,nm1220369,writer
tt0013086,nm0459030,actor
tt0013086,nm0250790,actress
tt0013086,nm0919684,actress
tt0013086,nm0002154,actor
tt0013086,nm0002154,actor
tt0013086,nm0324553,actor
tt0013086,nm0324553,actor
tt0013086,nm0324553,actor
tt0013086,nm0725332,actor
tt0013086,nm0287008,actor
tt0013086,nm0772300,actor
tt0013086,nm0313308,actor
tt0013086,nm0403917,actor
tt0013086,nm0000485,director
tt0013086,nm0415167,writer
tt0013086,nm0902376,writer
tt0013086,nm0000485,writer
tt0013086,nm0690143,producer
tt0013086,nm0253301,composer
tt0013086,nm0004592,composer
tt0013086,nm5215306,composer
tt0013086,nm0956802,composer
tt0013086,nm0389155,cinematographer
tt0013086,nm0001178,editor
tt0013442,nm0775180,actor
tt0013442,nm0334603,actor
tt0013442,nm0903194,actor
tt0013442,nm0775659,actress
tt0013442,nm0774114,actor
tt0013442,nm0485146,actress
tt0013442,nm0098774,actor
tt0013442,nm0332024,actor
tt0013442,nm0625947,actor
tt0013442,nm0374594,actor
tt0013442,nm0003638,director
tt0013442,nm0831290,writer
tt0013442,nm0301961,writer
tt0013442,nm0225868,producer
tt0013442,nm0336057,producer
tt0013442,nm0005959,composer
tt0013442,nm0002302,composer
tt0013442,nm0923118,composer
tt0013442,nm0258762,composer
tt0013442,nm0005922,cinematographer
tt0014417,nm0336414,actor
tt0014417,nm0536252,actor
tt0014417,nm0879412,actor
tt0014417,nm0786313,actor
tt0014417,nm0167087,actress
tt0014417,nm0561637,actor
tt0014417,nm0165137,actress
tt0014417,nm2244452,actor
tt0014417,nm0304098,director
tt0014417,nm0304098,writer
tt0014417,nm0304098,producer
tt0014417,nm0665572,producer
tt0014417,nm0287628,composer
tt0014417,nm0006131,composer
tt0014417,nm0004592,composer
tt0014417,nm0115996,cinematographer
tt0014417,nm0119704,cinematographer
tt0014417,nm0005662,cinematographer
tt0014417,nm0245180,cinematographer
tt0014417,nm0064496,editor
tt0014417,nm0304098,editor
tt0014586,nm0417837,actor
tt0014586,nm0891998,actor
tt0014586,nm0470328,actor
tt0014586,nm0470328,actor
tt0014586,nm0226189,actor
tt0014586,nm0226189,actor
tt0014586,nm0226189,actor
tt0014586,nm0067517,actress
tt0014586,nm0081510,actor
tt0014586,nm0332024,actor
tt0014586,nm0313308,actor
tt0014586,nm0499164,actor
tt0014586,nm0083532,director
tt0014586,nm0501902,director
tt0014586,nm0301961,writer
tt0014586,nm0083532,producer
tt0014586,nm1803316,producer
tt0014586,nm8468330,composer
tt0014586,nm2240871,composer
tt0014586,nm0776169,composer
tt0014586,nm0503814,cinematographer
tt0014760,nm0098376,actor
tt0014760,nm0045133,actress
tt0014760,nm0723658,actress
tt0014760,nm0824330,actor
tt0014760,nm0604384,actor
tt0014760,nm0855036,actress
tt0014760,nm0580961,actor
tt0014760,nm0454695,actor
tt0014760,nm0330763,actress
tt0014760,nm0636027,actor
tt0014760,nm0166836,director
tt0014760,nm0340599,writer
tt0014760,nm0723840,writer
tt0014760,nm0881333,writer
tt0014760,nm0504344,producer
tt0014760,nm0534404,cinematographer
tt0014898,nm0381642,actress
tt0014898,nm0165165,actress
tt0014898,nm0150628,actor
tt0014898,nm0869794,actor
tt0014898,nm0879412,actor
tt0014898,nm0283744,actress
tt0014898,nm0505990,actor
tt0014898,nm0220201,actor
tt0014898,nm0233518,actor
tt0014898,nm0504562,actor
tt0014898,nm0719756,director
tt0014898,nm0504562,writer
tt0014898,nm0719756,producer
tt0014898,nm0045404,cinematographer
tt0014898,nm0316813,cinematographer
tt0015064,nm0417837,actor
tt0015064,nm0217848,actress
tt0015064,nm0384897,actor
tt0015064,nm0476130,actress
tt0015064,nm0007207,actor
tt0015064,nm0832605,actor
tt0015064,nm0885030,actor
